id,Name,Url,Name,Name
0,The Fool,https://www.tarotcardmeanings.net/majorarcana/tarot-fool.htm,The Fool,The Fool
1,The Magician,https://www.tarotcardmeanings.net/majorarcana/tarot-magician.htm,The Magician,The Magician
2,The High Priestess,https://www.tarotcardmeanings.net/majorarcana/tarot-highpriestess.htm,The High Priestess,The High Priestess
3,The Empress,https://www.tarotcardmeanings.net/majorarcana/tarot-empress.htm,The Empress,The Empress
4,The Emperor,https://www.tarotcardmeanings.net/majorarcana/tarot-emperor.htm,The Emperor,The Emperor
5,The Hierophant,https://www.tarotcardmeanings.net/majorarcana/tarot-hierophant.htm,The Hierophant,The Hierophant
6,The Lovers,https://www.tarotcardmeanings.net/majorarcana/tarot-lovers.htm,The Lovers,The Lovers
7,The Chariot,https://www.tarotcardmeanings.net/majorarcana/tarot-chariot.htm,The Chariot,The Chariot
8,Strength,https://www.tarotcardmeanings.net/majorarcana/tarot-strength.htm,Strength,Strength
9,The Hermit,https://www.tarotcardmeanings.net/majorarcana/tarot-hermit.htm,The Hermit,The Hermit
10,The Wheel of Fortune,https://www.tarotcardmeanings.net/majorarcana/tarot-wheeloffortune.htm,The Wheel of Fortune,The Wheel of Fortune
11,Justice,https://www.tarotcardmeanings.net/majorarcana/tarot-justice.htm,Justice,Justice
12,The Hanged Man,https://www.tarotcardmeanings.net/majorarcana/tarot-hangedman.htm,The Hanged Man,The Hanged Man
13,Death,https://www.tarotcardmeanings.net/majorarcana/tarot-death.htm,Death,Death
14,Temperance,https://www.tarotcardmeanings.net/majorarcana/tarot-temperance.htm,Temperance,Temperance
15,The Devil,https://www.tarotcardmeanings.net/majorarcana/tarot-devil.htm,The Devil,The Devil
16,The Tower,https://www.tarotcardmeanings.net/majorarcana/tarot-tower.htm,The Blasted Tower,The Blasted Tower
17,The Star,https://www.tarotcardmeanings.net/majorarcana/tarot-star.htm,The Star,The Star
18,The Moon,https://www.tarotcardmeanings.net/majorarcana/tarot-moon.htm,The Moon,The Moon
19,The Sun,https://www.tarotcardmeanings.net/majorarcana/tarot-sun.htm,The Sun,The Sun
20,Judgement,https://www.tarotcardmeanings.net/majorarcana/tarot-judgement.htm,Judgement,Judgement
21,The World,https://www.tarotcardmeanings.net/majorarcana/tarot-world.htm,The World,The World
